,Lat,Long,prec,Date,Site_ID,tmin,tmax
0,-3.25,-61.25,434.34,2000-01-01,68,22.5,30.0
1,-3.25,-61.25,339.41,2000-02-01,68,23.0,30.0
2,-3.25,-61.25,364.26,2000-03-01,68,23.0,30.0
3,-3.25,-61.25,420.14,2000-04-01,68,23.0,30.0
4,-3.25,-61.25,278.97,2000-05-01,68,23.0,31.0
5,-3.25,-61.25,99.92,2000-06-01,68,23.06,31.0
6,-3.25,-61.25,111.52,2000-07-01,68,22.06,31.0
7,-3.25,-61.25,106.59,2000-08-01,68,22.31,32.0
8,-3.25,-61.25,196.38,2000-09-01,68,23.0,32.0
9,-3.25,-61.25,72.44,2000-10-01,68,23.0,32.0
10,-3.25,-61.25,203.19,2000-11-01,68,23.31,32.0
11,-3.25,-61.25,211.35,2000-12-01,68,23.06,32.0
12,-3.25,-61.25,423.79,2001-01-01,68,22.0,30.0
13,-3.25,-61.25,272.92,2001-02-01,68,23.0,30.62
14,-3.25,-61.25,293.42,2001-03-01,68,23.0,31.0
15,-3.25,-61.25,196.3,2001-04-01,68,23.0,31.0
16,-3.25,-61.25,223.22,2001-05-01,68,23.0,31.0
17,-3.25,-61.25,173.08,2001-06-01,68,22.0,30.0
18,-3.25,-61.25,80.31,2001-07-01,68,22.06,31.0
19,-3.25,-61.25,28.81,2001-08-01,68,23.0,33.0
20,-3.25,-61.25,119.19,2001-09-01,68,23.0,33.0
21,-3.25,-61.25,79.36,2001-10-01,68,23.06,33.31
22,-3.25,-61.25,201.88,2001-11-01,68,23.44,33.0
23,-3.25,-61.25,304.82,2001-12-01,68,24.0,32.0
24,-3.25,-61.25,363.98,2002-01-01,68,23.0,31.44
25,-3.25,-61.25,375.15,2002-02-01,68,23.75,31.0
26,-3.25,-61.25,364.03,2002-03-01,68,23.0,31.0
27,-3.25,-61.25,380.21,2002-04-01,68,23.0,30.31
28,-3.25,-61.25,310.17,2002-05-01,68,23.88,30.0
29,-3.25,-61.25,204.39,2002-06-01,68,23.0,31.0
30,-3.25,-61.25,62.66,2002-07-01,68,23.19,32.0
31,-3.25,-61.25,52.79,2002-08-01,68,23.0,33.0
32,-3.25,-61.25,95.49,2002-09-01,68,23.06,33.38
33,-3.25,-61.25,199.76,2002-10-01,68,23.38,33.0
34,-3.25,-61.25,114.91,2002-11-01,68,23.06,32.0
35,-3.25,-61.25,312.89,2002-12-01,68,24.0,31.0
36,-3.25,-61.25,155.02,2003-01-01,68,24.06,32.0
37,-3.25,-61.25,316.28,2003-02-01,68,24.0,31.0
38,-3.25,-61.25,308.51,2003-03-01,68,24.0,31.0
39,-3.25,-61.25,323.37,2003-04-01,68,24.0,30.94
40,-3.25,-61.25,330.18,2003-05-01,68,24.0,30.0
41,-3.25,-61.25,160.0,2003-06-01,68,23.06,31.0
42,-3.25,-61.25,89.94,2003-07-01,68,23.0,31.0
43,-3.25,-61.25,121.39,2003-08-01,68,23.0,31.69
44,-3.25,-61.25,76.12,2003-09-01,68,23.0,31.44
45,-3.25,-61.25,121.38,2003-10-01,68,23.44,32.0
46,-3.25,-61.25,116.91,2003-11-01,68,23.38,32.0
47,-3.25,-61.25,119.57,2003-12-01,68,24.0,32.0
48,-3.25,-61.25,214.82,2004-01-01,68,24.0,31.0
49,-3.25,-61.25,223.18,2004-02-01,68,24.0,31.0
50,-3.25,-61.25,401.88,2004-03-01,68,24.0,30.0
51,-3.25,-61.25,267.38,2004-04-01,68,24.0,31.0
52,-3.25,-61.25,350.35,2004-05-01,68,23.12,30.0
53,-3.25,-61.25,135.23,2004-06-01,68,23.06,31.0
54,-3.25,-61.25,95.49,2004-07-01,68,23.0,31.0
55,-3.25,-61.25,128.63,2004-08-01,68,23.31,32.0
56,-3.25,-61.25,104.89,2004-09-01,68,23.0,32.0
57,-3.25,-61.25,94.28,2004-10-01,68,24.0,32.31
58,-3.25,-61.25,105.69,2004-11-01,68,24.0,33.0
59,-3.25,-61.25,183.54,2004-12-01,68,23.0,32.12
60,-3.25,-61.25,229.25,2005-01-01,68,24.0,31.0
61,-3.25,-61.25,405.88,2005-02-01,68,24.0,30.0
62,-3.25,-61.25,403.36,2005-03-01,68,24.0,30.0
63,-3.25,-61.25,361.91,2005-04-01,68,24.0,30.0
64,-3.25,-61.25,317.71,2005-05-01,68,24.0,31.0
65,-3.25,-61.25,87.81,2005-06-01,68,23.75,31.0
66,-3.25,-61.25,69.34,2005-07-01,68,23.06,31.0
67,-3.25,-61.25,28.83,2005-08-01,68,23.19,33.0
68,-3.25,-61.25,82.49,2005-09-01,68,23.0,32.0
69,-3.25,-61.25,95.01,2005-10-01,68,24.0,33.0
70,-3.25,-61.25,174.96,2005-11-01,68,24.0,32.0
71,-3.25,-61.25,358.86,2005-12-01,68,23.0,31.0
72,-3.25,-61.25,291.64,2006-01-01,68,24.0,30.0
73,-3.25,-61.25,441.61,2006-02-01,68,24.0,30.0
74,-3.25,-61.25,361.8,2006-03-01,68,22.25,31.0
75,-3.25,-61.25,280.06,2006-04-01,68,24.0,30.0
76,-3.25,-61.25,333.34,2006-05-01,68,23.0,29.0
77,-3.25,-61.25,126.08,2006-06-01,68,23.0,31.0
78,-3.25,-61.25,100.73,2006-07-01,68,23.0,31.0
79,-3.25,-61.25,48.96,2006-08-01,68,23.06,33.0
80,-3.25,-61.25,68.72,2006-09-01,68,23.06,33.0
81,-3.25,-61.25,82.09,2006-10-01,68,24.06,33.0
82,-3.25,-61.25,286.92,2006-11-01,68,23.31,31.19
83,-3.25,-61.25,268.91,2006-12-01,68,23.0,32.12
84,-3.25,-61.25,416.16,2007-01-01,68,24.0,31.0
85,-3.25,-61.25,180.67,2007-02-01,68,24.0,32.0
86,-3.25,-61.25,429.14,2007-03-01,68,23.06,30.94
87,-3.25,-61.25,344.13,2007-04-01,68,24.0,30.25
88,-3.25,-61.25,190.71,2007-05-01,68,23.12,30.0
89,-3.25,-61.25,108.11,2007-06-01,68,23.06,31.0
90,-3.25,-61.25,113.29,2007-07-01,68,23.0,32.0
91,-3.25,-61.25,126.16,2007-08-01,68,23.06,32.0
92,-3.25,-61.25,78.02,2007-09-01,68,23.06,32.0
93,-3.25,-61.25,74.28,2007-10-01,68,23.0,32.0
94,-3.25,-61.25,205.29,2007-11-01,68,23.12,32.0
95,-3.25,-61.25,373.2,2007-12-01,68,23.0,31.56
96,-3.25,-61.25,418.48,2008-01-01,68,23.0,30.0
97,-3.25,-61.25,444.46,2008-02-01,68,23.06,30.0
98,-3.25,-61.25,426.98,2008-03-01,68,23.0,31.0
99,-3.25,-61.25,351.78,2008-04-01,68,23.38,31.0
100,-3.25,-61.25,257.89,2008-05-01,68,23.0,30.0
101,-3.25,-61.25,180.06,2008-06-01,68,23.0,30.12
102,-3.25,-61.25,75.78,2008-07-01,68,23.06,32.0
103,-3.25,-61.25,54.36,2008-08-01,68,23.81,33.0
104,-3.25,-61.25,84.86,2008-09-01,68,23.25,32.0
105,-3.25,-61.25,136.35,2008-10-01,68,23.38,32.0
106,-3.25,-61.25,175.31,2008-11-01,68,24.0,31.5
107,-3.25,-61.25,459.59,2008-12-01,68,23.0,31.0
108,-3.25,-61.25,436.5,2009-01-01,68,23.0,30.0
109,-3.25,-61.25,458.8,2009-02-01,68,23.0,30.0
110,-3.25,-61.25,454.52,2009-03-01,68,23.0,30.38
111,-3.25,-61.25,300.67,2009-04-01,68,23.19,31.0
112,-3.25,-61.25,159.99,2009-05-01,68,23.0,30.0
113,-3.25,-61.25,226.11,2009-06-01,68,23.06,30.0
114,-3.25,-61.25,77.26,2009-07-01,68,23.06,32.0
